Date,Low,Open,Volume,Close,High
2010-07-28,6.41,6.60,174070,6.41,6.41
2010-07-29,6.41,6.41,126722,6.41,6.41
2010-08-16,5.52,5.52,356958,5.52,5.53
2010-08-17,5.31,5.52,494823,5.31,5.52
2010-08-18,5.37,5.31,142868,5.37,5.37
2010-08-19,5.50,5.37,178490,5.50,5.50
2010-08-20,5.23,5.50,356736,5.23,5.45
2010-06-02,8.19,8.19,102370,8.19,8.19
2010-06-04,8.19,8.19,93290,8.19,8.19
2010-06-07,8.19,8.19,45300,8.19,8.19
2010-06-08,8.19,8.19,130150,8.19,8.19
2010-11-11,5.33,5.33,105877,5.33,5.33
2010-11-12,5.33,5.33,63493,5.33,5.33
2010-11-18,5.33,5.33,50494,5.33,5.33
2010-11-15,5.33,5.33,60512,5.33,5.33
2010-11-19,5.33,5.33,31800,5.33,5.33
2010-11-22,5.07,5.33,353200,5.08,5.08
2010-04-12,8.65,8.65,1932609,8.97,8.97
2010-04-13,8.55,8.97,14392533,8.55,9.41
2010-04-14,8.50,8.55,3484325,8.55,8.97
2010-04-15,8.55,8.55,1661923,8.69,8.69
2010-04-16,8.55,8.69,5205113,8.70,8.90
2010-08-23,5.25,5.23,239685,5.25,5.30
2010-08-24,5.25,5.25,159382,5.25,5.25
2010-08-25,5.14,5.14,352086,5.14,5.14
2010-08-26,5.14,5.14,71970,5.14,5.14
2010-08-27,5.00,5.14,264000,5.00,5.01
2011-01-06,5.10,5.00,583090,5.10,5.10
2011-01-05,5.00,5.00,246900,5.00,5.00
2011-01-07,5.10,5.10,98120,5.10,5.10
2011-01-10,5.00,5.10,352650,5.00,5.00
2011-01-11,5.14,5.00,204284,5.14,5.14
2010-05-21,8.50,8.50,699374,8.70,8.70
2010-05-26,8.35,8.35,339502,8.45,8.45
2010-05-27,8.50,8.45,1000001,8.50,8.56
2010-05-28,8.08,8.50,408800,8.10,8.11
2010-06-01,8.19,8.10,211342,8.19,8.19
2010-06-17,8.30,8.19,440334,8.30,8.32
2010-06-18,8.30,8.30,106404,8.30,8.30
2010-07-07,7.00,7.31,153549,7.00,7.00
2010-07-09,6.65,6.65,57980,6.65,6.65
2010-07-08,6.65,7.00,183939,6.65,6.65
2010-07-12,6.65,6.65,100335,6.65,6.65
2010-07-13,6.32,6.65,442036,6.32,6.32
2010-07-14,6.32,6.32,187545,6.32,6.32
2010-08-31,4.75,5.00,396622,4.75,4.75
2010-08-30,5.00,5.00,144900,5.00,5.00
2010-09-01,4.75,4.75,283820,4.75,4.75
2010-09-02,4.73,4.75,1144660,4.73,4.75
2010-09-06,4.90,4.73,2162800,4.95,4.96
2010-09-03,4.73,4.73,156489,4.73,4.73
2011-01-20,5.44,5.19,417640,5.44,5.44
2011-01-21,5.44,5.44,133790,5.44,5.44
2011-01-24,5.44,5.44,124857,5.44,5.44
2011-01-25,5.71,5.44,325767,5.71,5.71
2010-07-30,6.41,6.41,221444,6.41,6.41
2010-08-02,6.09,6.41,436533,6.09,6.09
2010-08-03,5.79,6.09,414210,5.79,5.81
2010-08-04,5.60,5.79,266350,5.60,5.60
2010-08-09,5.60,5.60,99550,5.60,5.60
2010-10-12,4.90,5.00,334270,4.90,4.90
2010-10-13,4.70,4.90,219100,4.70,4.70
2010-10-14,4.70,4.70,160912,4.70,4.70
2010-10-15,4.91,4.70,666766,4.93,4.93
2010-10-18,5.15,4.93,506226,5.15,5.15
2010-10-21,5.30,5.38,142000,5.30,5.30
2010-08-05,5.60,5.79,60000,5.60,5.60
2010-08-06,5.60,5.60,275655,5.60,5.60
2010-08-10,5.60,5.60,71865,5.60,5.60
2010-08-12,5.55,5.55,100450,5.55,5.55
2010-08-11,5.55,5.60,452885,5.55,5.60
2010-08-13,5.52,5.55,476331,5.52,5.56
2010-06-24,8.45,8.45,58700,8.45,8.45
2010-06-23,8.45,8.30,248400,8.45,8.45
2010-06-28,8.45,8.45,40170,8.45,8.45
2010-06-25,8.45,8.45,105500,8.45,8.45
2010-06-29,8.05,8.45,284312,8.05,8.05
2011-01-26,5.91,5.71,375607,5.99,5.99
2011-01-27,5.99,5.99,92850,5.99,5.99
2011-02-02,6.00,6.27,1135794,6.00,6.20
2011-01-28,6.28,5.99,195987,6.28,6.28
2011-01-31,6.58,6.28,477950,6.59,6.59
2011-02-01,6.27,6.59,565715,6.27,6.59
2010-11-30,5.30,5.30,65274,5.30,5.30
2010-12-01,5.04,5.30,220650,5.04,5.04
2010-12-03,5.02,4.79,184000,5.02,5.02
2010-12-02,4.79,5.04,609650,4.79,4.88
2010-12-06,5.10,5.02,267500,5.10,5.10
2010-12-07,5.10,5.10,91500,5.10,5.10
2010-03-19,9.00,9.00,0,9.00,9.00
2010-03-18,9.02,9.02,0,9.00,9.00
2010-03-17,8.99,8.99,0,9.02,9.02
2010-03-16,8.62,8.62,0,8.99,8.99
2010-03-15,8.50,8.50,0,8.62,8.62
2010-03-12,8.50,8.50,0,8.50,8.50
2010-03-11,8.80,8.80,0,8.50,8.50
2010-03-10,8.80,8.80,0,8.80,8.80
2010-03-09,8.80,8.80,0,8.80,8.80
2010-03-08,8.80,8.80,0,8.80,8.80
2010-03-05,8.61,8.61,0,8.80,8.80
2010-03-04,8.53,8.53,0,8.61,8.61
2010-03-03,8.13,8.13,0,8.53,8.53
2010-03-02,7.40,7.40,0,7.77,7.77
2010-03-01,7.40,7.40,0,7.77,7.77
2010-02-25,7.40,7.40,0,7.40,7.40
2010-02-24,7.05,7.05,0,7.40,7.40
2010-02-23,7.05,7.05,0,7.05,7.05
2010-02-22,6.72,6.72,0,7.05,7.05
2010-02-19,6.40,6.40,0,6.72,6.72
2010-02-18,6.40,6.40,0,6.40,6.40
2010-02-17,6.12,6.12,0,6.40,6.40
2010-02-16,6.12,6.12,0,6.12,6.12
2010-02-15,6.12,6.12,0,6.12,6.12
2010-02-12,6.12,6.12,0,6.12,6.12
2010-02-11,6.12,6.12,0,6.12,6.12
2010-02-11,6.12,6.12,0,6.12,6.12
2010-02-10,6.35,6.35,0,6.12,6.12
2010-02-09,6.35,6.35,0,6.35,6.35
2010-02-08,6.68,6.68,0,6.35,6.35
2010-02-05,7.03,7.03,0,6.68,6.68
2010-02-04,7.39,7.39,0,7.03,7.03
2010-02-03,7.77,7.77,0,7.39,7.39
2010-02-02,7.77,7.77,0,7.77,7.77
2010-02-01,7.77,7.77,0,7.77,7.77
2010-01-29,8.07,8.07,0,7.77,7.77
2010-01-28,8.07,8.07,0,8.07,8.07
2010-01-27,8.07,8.07,0,8.07,8.07
2010-01-26,8.07,8.07,0,8.07,8.07
2010-01-25,8.07,8.07,0,8.07,8.07
2010-01-22,8.07,8.07,0,8.07,8.07
2010-01-21,8.07,8.07,0,8.07,8.07
2010-01-20,8.07,8.07,0,8.07,8.07
2010-01-19,8.07,8.07,0,8.07,8.07
2010-01-15,8.07,8.07,0,8.07,8.07
2010-01-14,8.49,8.49,0,8.07,8.07
2010-01-13,8.49,8.49,0,8.49,8.49
2010-01-12,8.49,8.49,0,8.49,8.49
2010-01-11,8.09,8.09,0,8.49,8.49
2010-01-08,8.09,8.09,0,8.09,8.09
2010-01-07,8.09,8.09,0,8.09,8.09
2010-01-06,8.50,8.50,0,8.09,8.09
2010-01-05,8.50,8.50,0,8.50,8.50
2010-01-04,8.50,8.50,0,8.50,8.50
2009-12-31,8.50,8.50,0,8.50,8.50
2009-12-30,8.50,8.50,0,8.50,8.50
2009-12-22,8.50,8.50,0,8.50,8.50
2009-12-21,8.50,8.50,0,8.50,8.50
2009-12-18,8.50,8.50,0,8.50,8.50
2009-12-17,8.50,8.50,0,8.50,8.50
2009-12-16,8.50,8.50,0,8.50,8.50
2009-12-11,8.50,8.50,0,8.50,8.50
2009-12-10,8.50,8.50,0,8.50,8.50
2009-12-08,8.50,8.50,0,8.50,8.50
2009-12-03,8.50,8.50,0,8.50,8.50
2009-12-02,8.50,8.50,0,8.50,8.50
2009-12-01,8.50,8.50,0,8.50,8.50
2009-11-30,8.50,8.50,0,8.50,8.50
2009-11-25,8.50,8.50,0,8.50,8.50
2009-11-24,8.50,8.50,0,8.50,8.50
2009-11-19,8.50,8.50,0,8.50,8.50
2009-11-18,8.50,8.50,0,8.50,8.50
2009-11-17,8.50,8.50,0,8.50,8.50
2009-11-16,8.50,8.50,0,8.50,8.50
2009-11-13,8.50,8.50,0,8.50,8.50
